City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
albany,US,42.6001,-73.9662,80.15,69,5,1.95,1627395208
avarua,CK,-21.2078,-159.775,69.85,94,75,2.3,1627395209
baglan,AF,36.1307,68.7083,98.82,15,0,9.82,1627395211
provideniya,RU,64.3833,-173.3,46.92,99,100,9.86,1627395211
hasaki,JP,35.7333,140.8333,73.8,73,80,13.38,1627395037
brookhaven,US,31.5791,-90.4407,83.35,83,0,3.11,1627395213
plaridel,PH,14.8872,120.8572,83.91,84,100,11.5,1627395214
saint-philippe,RE,-21.3585,55.7679,71.15,74,48,12.03,1627395215
kodiak,US,57.79,-152.4072,47.71,81,1,5.75,1627395216
souillac,MU,-20.5167,57.5167,69.37,87,96,15.17,1627395218
vallenar,CL,-28.5708,-70.7581,61.68,23,0,1.59,1627395219
nioro,GM,13.35,-15.75,94.08,45,23,7.09,1627395221
vao,NC,-22.6667,167.4833,68.45,58,38,14.47,1627395222
quballat,TN,36.5418,9.6633,93.42,14,67,17.36,1627395223
sao filipe,CV,14.8961,-24.4956,75.42,79,99,8.39,1627395225
natchitoches,US,31.7668,-93.1335,86.68,84,1,0.0,1627395226
binzhou,CN,37.3667,118.0167,77.86,82,100,6.69,1627395227
arraial do cabo,BR,-22.9661,-42.0278,82.26,47,0,11.5,1627395227
atuona,PF,-9.8,-139.0333,77.67,67,15,18.86,1627395228
hilo,US,19.7297,-155.09,73.8,94,90,3.44,1627395230
pisco,PE,-13.7,-76.2167,64.45,82,20,1.14,1627395231
fortuna,US,40.5982,-124.1573,62.42,95,75,1.01,1627395233
henties bay,NA,-22.116,14.2845,67.86,54,0,13.98,1627395234
saint-joseph,RE,-21.3667,55.6167,70.16,73,64,12.97,1627395235
bandarbeyla,SO,9.4942,50.8122,81.63,63,99,31.38,1627395237
bethel,US,41.3712,-73.414,84.42,66,1,1.01,1627395238
east london,ZA,-33.0153,27.9116,79.47,24,0,11.36,1627395073
dingle,PH,10.9995,122.6711,79.74,81,90,13.56,1627394972
caravelas,BR,-17.7125,-39.2481,80.04,55,0,4.72,1627395240
severo-kurilsk,RU,50.6789,156.125,57.42,98,100,6.24,1627395241
ribeira grande,PT,38.5167,-28.7,79.2,69,40,13.8,1627395243
pacifica,US,37.6138,-122.4869,66.63,93,75,1.01,1627395244
port elizabeth,ZA,-33.918,25.5701,78.33,27,0,15.48,1627395009
dunedin,NZ,-45.8742,170.5036,48.79,60,35,3.0,1627394990
arlit,NE,18.7369,7.3853,100.02,28,80,7.18,1627395245
busselton,AU,-33.65,115.3333,49.08,63,99,12.01,1627395161
acarau,BR,-2.8856,-40.12,87.17,51,34,15.59,1627395246
shenjiamen,CN,29.9576,122.298,79.5,88,100,17.76,1627395248
shingu,JP,33.7333,135.9833,76.64,81,95,5.73,1627395029
mataura,NZ,-46.1927,168.8643,46.47,84,100,3.15,1627395248
santa marta,CO,11.2408,-74.199,86.99,72,58,0.2,1627395249
eureka,US,40.8021,-124.1637,56.12,95,100,1.01,1627395250
kapaa,US,22.0752,-159.319,79.12,81,75,12.66,1627395251
mikumi,TZ,-7.4041,36.9831,80.69,29,25,9.44,1627395252
rikitea,PF,-23.1203,-134.9692,74.41,75,100,16.84,1627395254
resita,RO,45.3008,21.8892,97.79,21,20,8.57,1627395256
kununurra,AU,-15.7667,128.7333,73.38,73,91,0.0,1627395257
barreirinhas,BR,-2.7469,-42.8264,86.58,52,50,5.95,1627395258
naruja,GE,41.9069,41.9542,74.19,90,99,6.17,1627395259
ouidah,BJ,6.3631,2.0851,81.41,62,100,14.63,1627395261
puerto ayora,EC,-0.7393,-90.3518,72.46,71,49,11.27,1627395262
flinders,AU,-34.5833,150.8552,56.21,69,100,1.99,1627395264
syracuse,IT,37.0881,15.2792,98.62,51,0,14.0,1627395264
castro,BR,-24.7911,-50.0119,68.54,49,94,12.95,1627395265
jamestown,US,42.097,-79.2353,79.18,68,1,9.22,1627395267
uglezavodsk,RU,47.3167,142.6167,67.06,79,26,3.89,1627395039
altay,CN,47.8667,88.1167,73.11,49,5,7.52,1627395268
namatanai,PG,-3.6667,152.4333,79.14,82,36,6.76,1627395268
lethem,GY,3.3803,-59.7968,83.19,72,8,5.48,1627395270
kahului,US,20.8947,-156.47,77.02,88,90,16.11,1627395271
padang,ID,-0.9492,100.3543,82.45,86,26,3.44,1627395273
torbay,CA,47.6666,-52.7314,68.29,96,90,14.97,1627395273
petropavlovsk-kamchatskiy,RU,53.0452,158.6483,60.28,87,100,16.62,1627395039
carnarvon,AU,-24.8667,113.6333,57.27,64,40,8.05,1627395274
seversk,RU,56.6006,84.8864,65.35,78,97,4.56,1627395275
beloha,MG,-25.1667,45.05,64.69,60,100,13.47,1627395276
bratsk,RU,56.1325,101.6142,73.89,53,11,1.92,1627395278
booue,GA,-0.0921,11.9385,90.52,40,94,2.19,1627395279
yeppoon,AU,-23.1333,150.7333,56.98,82,5,3.6,1627395119
gladstone,AU,-23.85,151.25,57.13,94,1,3.44,1627395281
mnogovershinnyy,RU,53.9353,139.9242,58.59,86,87,3.98,1627395012
hami,CN,42.8,93.45,94.78,12,4,9.8,1627395282
anori,BR,-3.7728,-61.6442,89.11,49,65,2.59,1627395282
tshikapa,CD,-6.4167,20.8,91.9,12,17,4.56,1627395283
patitirion,GR,39.15,23.8667,89.38,53,0,3.33,1627395285
beringovskiy,RU,63.05,179.3167,49.33,98,100,6.33,1627395038
